Millis,Battery Voltage,SOC,DCL,Working Voltage,Speed
2734689,12,0.75,40,11.7,99
2735190,12,0.75,40,11.7,99
2735702,12,0.75,40,11.7,99
2736203,12,0.75,40,11.8,99
2736704,12,0.75,40,11.8,99
2737205,12,0.75,40,11.7,99
2737706,12,0.75,40,11.8,99
2738207,12,0.75,40,11.7,99
2738708,12,0.75,40,11.8,99
2739209,12,0.75,40,11.8,99
2739710,12,0.75,40,11.7,99
2740211,12,0.75,40,11.7,99
2740712,12,0.75,40,11.8,99
2741213,12,0.75,40,11.8,99
2741714,12,0.75,40,11.7,99
2742215,12,0.75,40,11.8,99
2742716,12,0.75,40,11.8,99
2743217,12,0.75,40,11.7,99
2743718,12,0.75,40,11.8,99
2744219,12,0.75,40,11.8,99
2744720,12,0.75,40,11.8,99
2745221,12,0.75,40,11.8,99
2745722,12,0.75,40,11.7,99
2746223,12,0.75,40,11.8,99
2746724,12,0.75,40,11.7,99
2747225,12,0.75,40,11.8,99
2747726,12,0.75,40,11.8,99
2748227,12,0.75,40,11.8,99
2748728,12,0.75,40,11.8,99
2749229,12,0.75,40,11.8,99
2749741,12,0.75,40,11.7,99
2750242,12,0.75,40,11.8,99
2750743,12,0.75,40,11.7,99
2751244,12,0.75,40,11.8,99
2751745,12,0.75,40,11.8,99
2752246,12,0.75,40,11.8,99
2752747,12,0.75,40,11.8,99
2753248,12,0.75,40,11.7,99
2753749,12,0.75,40,11.8,99
2754250,12,0.75,40,11.8,99
2754751,12,0.75,40,11.7,99
2755252,12,0.75,40,11.8,99
2755753,11.9,0.75,40,11.7,99
2756254,12,0.75,40,11.8,99
2756755,12,0.75,40,11.8,99
2757256,12,0.75,40,11.8,99
2757757,12,0.75,40,11.7,99
2758258,11.9,0.75,40,11.8,99
2758759,12,0.75,40,11.8,99
2759260,12,0.75,40,11.8,99
2759761,12,0.75,40,11.7,99
2760262,12,0.75,40,11.8,99
2760763,11.9,0.75,40,11.8,99
2761264,12,0.75,40,11.7,99
2761765,12,0.75,40,11.7,99
2762266,12,0.75,40,11.7,99
2762767,12,0.75,40,11.8,99
2763268,12,0.75,40,11.8,99
2763780,12,0.75,40,11.7,99
2764281,12,0.75,40,11.8,99
2764782,12,0.75,40,11.8,99
2765283,12,0.75,40,11.7,99
2765784,12,0.75,40,11.7,99
2766285,12,0.75,40,11.8,99
2766786,12,0.75,40,11.7,99
2767287,12,0.75,40,11.7,99
2767788,12,0.75,40,11.7,99
2768289,12,0.75,40,11.8,99
2768790,12,0.75,40,11.7,99
2769291,12,0.75,40,11.7,99
2769792,12,0.75,40,11.7,99
2770293,12,0.75,40,11.8,99
2770794,11.9,0.75,40,11.7,99
2771295,12,0.75,40,11.8,99
2771796,12,0.75,40,11.7,99
2772297,12,0.75,40,11.8,99
2772798,12,0.75,40,11.8,99
2773299,12,0.75,40,11.8,99
2773800,12,0.75,40,11.7,99
2774301,12,0.75,40,11.8,99
2774802,12,0.75,40,11.7,99
2775303,12,0.75,40,11.7,99
2775804,12,0.75,40,11.8,99
2776305,12,0.75,40,11.7,99
2776806,12,0.75,40,11.7,99
2777307,12,0.75,40,11.7,99
2777819,12,0.75,40,11.7,99
2778320,12,0.75,40,11.8,99
2778821,12,0.75,40,11.7,99
2779322,12,0.75,40,11.8,99
2779823,12,0.75,40,11.7,99
2780324,12,0.75,40,11.8,99
2780825,12,0.75,40,11.8,99
2781326,12,0.75,40,11.7,99
2781827,12,0.75,40,11.8,99
2782328,12,0.75,40,11.7,99
2782829,12,0.75,40,11.7,99
2783330,12,0.75,40,11.7,99
2783831,12,0.75,40,11.7,99
2784332,12,0.75,40,11.7,99
2784833,12,0.75,40,11.7,99
2785334,12,0.75,40,11.7,99
2785835,12,0.75,40,11.7,99
2786336,12,0.75,40,11.8,99
2786837,12,0.75,40,11.8,99
2787338,12,0.75,40,11.7,99
2787839,12,0.75,40,11.7,99
2788340,12,0.75,40,11.8,99
2788841,12,0.75,40,11.7,99
2789342,12,0.75,40,11.8,99
2789843,12,0.75,40,11.7,99
2790344,12,0.75,40,11.8,99
2790845,11.9,0.75,40,11.8,99
2791346,12,0.75,40,11.8,99
2791858,12,0.75,40,11.7,99
2792359,12,0.75,40,11.8,99
2792860,12,0.75,40,11.8,99
2793361,12,0.75,40,11.7,99
2793862,12,0.75,40,11.7,99
2794363,12,0.75,40,11.8,99
2794864,12,0.75,40,11.7,99
2795365,12,0.75,40,11.7,99
2795866,12,0.75,40,11.7,99
2796367,12,0.75,40,11.7,99
2796868,12,0.75,40,11.7,99
